condition,condition_label,N,MT_single,TPe_single,ER_single,MT_included,TPe_included,MT_omission_reason,TPe_omission_reason
width_wide,Wide-width A1000 W50 ID20 / C1,217,0.732,50.793951580395714,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,218,0.675,60.67904803695741,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,219,0.787,34.031958878970386,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,220,0.66,41.30013486382806,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,221,0.745,36.049839197005305,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,222,0.66,35.80967053843414,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,223,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,224,0.669,41.18374350300097,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,225,0.806,38.13370245268329,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,226,1.096,18.007714465686057,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,227,0.731,17.835839202720855,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,228,0.661,20.67837513091942,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,229,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,230,0.481,70.27420972657693,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,231,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,232,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,233,0.485,52.608867292367286,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,234,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,235,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,236,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,237,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,238,0.532,98.23718994864063,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,239,0.608,21.330192594227608,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,240,0.493,55.47243071074562,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,241,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,242,0.551,53.10955811432564,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,243,0.45,49.35107830798043,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,244,0.412,190.29205651746034,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,245,0.629,59.952498073715994,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,246,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,247,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,248,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,249,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,250,0.73,51.874595559841985,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,251,0.497,49.894144151898054,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,252,0.603,31.78182934651139,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,253,0.675,48.25758261731562,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,254,0.521,99.26163549841877,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,255,0.838,31.35618392102557,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,256,0.473,97.29537367752079,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,257,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,258,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,259,0.319,80.95517539268357,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,260,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,261,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,262,0.312,102.59422578634762,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,263,0.294,78.27135065617536,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,264,0.338,125.32843696863495,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,265,,,100.0,False,False,not_performance_trial,not_performance_trial
